age,income,purchased
56,54674,1
69,55854,0
46,66271,1
32,93688,0
60,58518,1
25,30267,0
38,110825,0
56,21062,0
36,70448,0
40,115462,1
28,26229,0
28,76793,1
41,67915,0
53,24632,0
57,23596,0
41,26168,1
20,27561,0
39,93794,1
19,102152,1
41,46734,1
61,26371,1
47,46069,1
55,99905,1
19,32910,1
38,93479,1
50,97735,1
29,101264,0
39,43275,0
61,92274,0
42,101449,0
66,80004,0
44,82981,1
59,104659,1
45,74553,1
33,68447,1
32,54529,1
64,95703,1
68,96090,1
61,37260,0
69,23812,0
20,48024,0
54,78656,0
68,47285,1
24,112436,1
38,21605,1
26,91158,0
56,92303,1
35,47139,1
21,97149,1
42,76138,0
31,96125,1
67,33918,0
26,105655,0
43,47446,0
19,33046,0
37,44818,1
45,24324,0
64,96323,0
24,29111,1
61,58110,1
25,36389,0
64,61427,1
52,99579,0
31,48746,0
34,107886,0
53,20117,0
67,104471,1
57,33234,0
21,73441,1
19,20846,1
23,30954,1
59,99239,1
21,66514,0
46,108236,1
35,117579,0
43,26469,1
61,50105,1
51,62101,0
27,84323,0
53,111922,0
31,78067,1
48,69376,1
65,65587,0
32,56976,0
25,87584,0
31,98477,0
40,62533,1
57,21828,0
38,21917,0
33,40618,0
62,52254,0
35,67362,1
64,40128,0
41,79383,1
43,85545,0
42,102180,0
62,107958,1
58,29865,0
46,22219,1
32,59809,1
62,25287,0
18,54387,1
42,28512,1
24,21342,1
26,83076,1
41,39216,1
18,113070,1
61,99767,1
25,117829,1
41,46614,0
28,56258,0
68,113789,1
34,62078,0
25,103524,1
52,116573,1
52,32219,0
50,20235,1
22,62929,1
59,87444,1
56,28567,1
58,90792,0
45,85441,1
24,104555,1
26,93698,1
25,25415,0
29,56159,1
51,63925,0
50,25951,0
65,107388,1
40,28007,1
41,61832,0
54,78596,1
52,50523,0
61,108861,0
57,106740,1
39,35524,1
44,39282,0
52,43930,0
18,20077,0
52,40611,0
54,36984,1
64,34060,1
31,102985,1
20,104056,1
18,63303,1
22,79207,0
43,95046,1
31,49287,1
56,113709,1
44,59711,1
26,31954,1
32,93340,0
32,92101,0
43,91520,0
59,107062,1
30,38574,0
68,29184,0
49,39096,1
56,87728,1
66,54016,1
69,31246,0
49,65558,0
21,38381,1
47,56455,1
54,112263,0
40,24018,0
56,31302,1
62,87506,1
32,61157,0
60,74917,1
46,112738,0
53,116646,0
30,103122,0
49,44519,0
24,116809,1
68,107487,1
39,76819,0
45,100910,0
19,91324,0
59,25408,0
62,79379,0
23,45053,1
45,29446,1
45,20922,1
61,118723,1
61,71356,0
37,30789,0
47,117720,0
28,86656,0
45,64028,0
42,84484,1
56,52154,0
50,102870,1
18,22336,1
44,87779,1
69,39029,1
30,79201,0
58,52265,1
20,63872,1
56,66197,1
23,75180,0
25,43710,0
44,49486,0
26,91907,1
54,91895,1
50,84435,0
68,60631,1
59,40103,0
61,84772,0
41,34382,1
32,104291,1
49,23756,1
49,40609,1
41,36478,0
58,59666,0
69,95683,0
66,119097,0
66,91315,0
69,97834,1
29,34153,0
56,96325,0
19,32999,0
20,75318,1
66,20814,1
54,96077,1
66,110474,1
34,22443,0
66,95993,0
19,95916,1
19,93319,1
45,37368,0
40,35328,0
54,76942,1
49,111751,1
50,119131,1
18,47306,1
36,105451,0
19,59915,0
61,57219,0
43,100879,1
49,84644,1
23,80279,0
49,73028,0
21,20126,0
28,72329,0
34,47632,1
55,85310,0
41,75176,0
22,106066,0
69,64327,0
51,88904,0
23,23797,0
39,67882,0
28,33718,1
65,54560,1
33,96589,1
50,42116,1
26,56244,0
23,21645,1
33,67523,1
46,39256,0
20,73173,0
37,57430,1
53,59282,1
36,83374,0
43,88244,1
20,31694,0
36,76264,0
37,95060,0
49,117416,0
24,77545,1
69,59224,0
58,117945,0
50,33224,1
57,60738,0
56,45150,1
35,83731,1
57,69688,1
18,119929,0
28,93509,1
45,28577,1
42,28070,0
67,28666,1
40,77761,1
48,56368,1
47,26783,1
59,61914,1
52,90507,0
24,99026,1
33,87526,1
43,90835,0
65,65765,0
69,39956,0
66,107895,1
19,66240,0
18,57148,1
65,114270,1
29,24757,0
22,39097,0
54,30395,1
49,36241,0
26,47696,1
58,90480,0
52,66163,0
36,39816,0
65,69840,1
33,72853,0
20,44917,1
37,116731,1
41,41566,1
50,95452,1
41,82823,0
69,40806,1
28,95520,1
66,21759,0
25,61949,1
53,112374,0
55,22482,1
57,44442,0
37,53719,1
52,78066,0
65,113501,1
42,22079,1
52,22717,0
42,79676,0
46,47952,0
35,106444,0
63,62460,1
35,110397,1
19,92847,0
52,113607,1
33,109106,0
58,38449,0
53,53536,1
50,84077,1
21,58258,1
50,68302,1
31,48865,1
38,26645,1
65,58000,1
37,46737,0
25,31485,0
24,58565,0
20,45522,0
34,85155,0
50,75168,1
65,72487,0
29,32342,0
68,60806,0
39,68770,0
39,98623,0
63,119785,0
47,95629,0
55,72603,1
55,101974,1
62,46399,0
68,105382,1
25,101244,1
44,96534,1
44,75106,1
